cve,snyk link,scantist link,Completed,Unsure flag,Comment
CVE-2020-11023,https://security.snyk.io/search?type=any&q=CVE-2020-11023,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-11023,TRUE,FALSE,
CVE-2020-11022,https://security.snyk.io/search?type=any&q=CVE-2020-11022,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-11022,TRUE,FALSE,
CVE-2020-10969,https://security.snyk.io/search?type=any&q=CVE-2020-10969,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-10969,TRUE,FALSE,
CVE-2020-10968,https://security.snyk.io/search?type=any&q=CVE-2020-10968,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-10968,TRUE,FALSE,
CVE-2020-10705,https://security.snyk.io/search?type=any&q=CVE-2020-10705,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-10705,TRUE,FALSE,
CVE-2020-10693,https://security.snyk.io/search?type=any&q=CVE-2020-10693,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-10693,TRUE,FALSE,
CVE-2020-10683,https://security.snyk.io/search?type=any&q=CVE-2020-10683,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-10683,TRUE,FALSE,
CVE-2020-10673,https://security.snyk.io/search?type=any&q=CVE-2020-10673,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-10673,TRUE,FALSE,
CVE-2020-10672,https://security.snyk.io/search?type=any&q=CVE-2020-10672,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2020-10672,TRUE,FALSE,
CVE-2019-9512,https://security.snyk.io/search?type=any&q=CVE-2019-9512,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2019-9512,TRUE,FALSE,
CVE-2019-8331,https://security.snyk.io/search?type=any&q=CVE-2019-8331,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2019-8331,TRUE,FALSE,
CVE-2019-7614,https://security.snyk.io/search?type=any&q=CVE-2019-7614,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2019-7614,TRUE,FALSE,
CVE-2019-7611,https://security.snyk.io/search?type=any&q=CVE-2019-7611,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2019-7611,TRUE,FALSE,
CVE-2019-5428,https://security.snyk.io/search?type=any&q=CVE-2019-5428,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2019-5428,TRUE,FALSE,
CVE-2019-5427,https://security.snyk.io/search?type=any&q=CVE-2019-5427,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2019-5427,TRUE,FALSE,
CVE-2019-3888,https://security.snyk.io/search?type=any&q=CVE-2019-3888,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2019-3888,TRUE,FALSE,
CVE-2019-3802,https://security.snyk.io/search?type=any&q=CVE-2019-3802,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2019-3802,TRUE,FALSE,
CVE-2019-3797,https://security.snyk.io/search?type=any&q=CVE-2019-3797,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2019-3797,TRUE,FALSE,
CVE-2019-3795,https://security.snyk.io/search?type=any&q=CVE-2019-3795,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2019-3795,TRUE,FALSE,
CVE-2019-2692,https://security.snyk.io/search?type=any&q=CVE-2019-2692,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2019-2692,TRUE,FALSE,
CVE-2019-20445,https://security.snyk.io/search?type=any&q=CVE-2019-20445,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2019-20445,TRUE,FALSE,
CVE-2019-20444,https://security.snyk.io/search?type=any&q=CVE-2019-20444,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2019-20444,TRUE,FALSE,
CVE-2019-20330,https://security.snyk.io/search?type=any&q=CVE-2019-20330,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2019-20330,TRUE,FALSE,
CVE-2019-19343,https://security.snyk.io/search?type=any&q=CVE-2019-19343,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2019-19343,TRUE,FALSE,
CVE-2019-17573,https://security.snyk.io/search?type=any&q=CVE-2019-17573,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2019-17573,TRUE,FALSE,
CVE-2019-17571,https://security.snyk.io/search?type=any&q=CVE-2019-17571,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2019-17571,TRUE,FALSE,
CVE-2019-17531,https://security.snyk.io/search?type=any&q=CVE-2019-17531,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2019-17531,TRUE,FALSE,
CVE-2019-17267,https://security.snyk.io/search?type=any&q=CVE-2019-17267,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2019-17267,TRUE,FALSE,
CVE-2019-17195,https://security.snyk.io/search?type=any&q=CVE-2019-17195,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2019-17195,TRUE,FALSE,
CVE-2019-16943,https://security.snyk.io/search?type=any&q=CVE-2019-16943,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2019-16943,TRUE,FALSE,
CVE-2019-16942,https://security.snyk.io/search?type=any&q=CVE-2019-16942,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2019-16942,TRUE,FALSE,
CVE-2019-16869,https://security.snyk.io/search?type=any&q=CVE-2019-16869,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2019-16869,TRUE,FALSE,
